method;aliases
Prime-factor FFT algorithm;Prime Factor Algorithm
Probabilistic neural network;PNN
proof-of-work;Proof of Work
proof-of-work;PoW
Pulse-coupled network;PCNN
Pulse-coupled network;pulse coupled network
Pulse-coupled network;pulse coupled neural network
Pulse-coupled network;pulse-coupled neural network
RC algorithm;RC algorithms
RC algorithm;Rivest's Cipher
RC algorithm;Rivest's Cipher algorithm
RC algorithm;Ron's code
RC algorithm;Ron's code algorithm
ROAM;Real-time optimally adapting mesh
RadioGatún;RadioGatun
Read-copy-update;RCU
SEBAL;The Surface Energy Balance Algorithm for Land
SXAL/MBAL;MBAL
SXAL/MBAL;Multi Block ALgorithm
SXAL/MBAL;Substitution Xor ALgorithm
SXAL/MBAL;Substitution Xor ALgorithm / Multi Block ALgorithm
SXAL/MBAL;SXAL
Scoring algorithm;Fisher's scoring
sentence boundary disambiguation;sentence segmentation
Shortest Path Faster Algorithm;SPFA
SimSimi;simsimi
Smart Bitrate Control;SBC
statistical relational learning;RML
statistical relational learning;relational learning
statistical relational learning;Relational Machine Learning
Structure from motion;SfM
Swendsen–Wang algorithm;Swendsen–Wang algorithm
Szymański's algorithm;Szymanski's algorithm
Szymański's algorithm;Szymanski's mutual exclusion algorithm
TCP Friendly Rate Control;TFRC
TCP Friendly Rate Control;Transmission Control Protocol Friendly Rate Control
Thalmann algorithm;VVAL18
Ultra Low Delay Audio Coder;ULD
RIPEMD-256;RACE Integrity Primitives Evaluation Message Digest
universal one-way hash function;UOWHF
weighted round robin;WRR
loop splitting;loop peeling
Spiking neural network;Spiking neuralnetwork
DCLZ;Data Compression Lempel-Ziv
edge-labelled directed tree;EDT
ROT47;ROT-47
uniform-cost search;UCS
LFM;Leniar Filtering Method
merge algorithm;merge
stable sorting algorithm;stable sort
Monte Carlo tree search;MCTS
Monte Carlo tree search;Monte-Carlo tree search
Cryptomeria cipher;Cryptomeria
cipher-based message authentication code;cipher based MAC
cipher-based message authentication code;cipher based message authentication code
cipher-based message authentication code;cipher-based MAC
Kahan summation algorithm;compensated summation
gift wrapping algorithm;Gift_wrapping_algorithm
gift wrapping algorithm;Jarvis march
multilayer perceptron;MLP
multilayer perceptron;Multi-Layer Perceptron
Robinson–Schensted–Knuth correspondence;RSK algorithm
Robinson–Schensted–Knuth correspondence;RSK correspondence
AI diagnostics;diagnosis (artificial intelligence)
AI diagnostics;diagnostics (artificial intelligence)
Double DES;2DES
Double DES;2-DES
Enhanced Variable Rate Codec;EVRC
Connected-component labeling;Connected-component analysis
Distributed artificial intelligence;DAI
K-medoids;PAM
artificial intelligence;A.I.
artificial intelligence;cognitive computing
artificial intelligence;A. I.
natural language processing;NLP
self-management;machine self-management
cipher block chaining mode;CBC
cipher block chaining mode;CBC mode
friendly artificial intelligence;FAI
friendly artificial intelligence;friendly AI
nearest-neighbor interpolation;nearest neighbor interpolation
nearest-neighbor interpolation;point sampling
nearest-neighbor interpolation;proximal interpolation
rolling hash;recursive hashing
rolling hash;rolling checksum
Operational transformation;"Operational transformation; OT"
uninformed search algorithm;blind search
uninformed search algorithm;brute-force search
uninformed search algorithm;uninformed search
ALOPEX;ALgorithms Of Pattern EXtraction
active learning;active learning algorithm
cipher;cryptographic algorithm
cipher;cypher
Adleman–Pomerance–Rumely primality test;APRT-CL
admissible heuristic;admissible heuristics
aptX;apt-X
artificial bee colony algorithm;ABC
BHHH algorithm;Berndt–Hall–Hall–Hausman algorithm
bubble sort;bubblesort
fast inverse square root;Fast InvSqrt()
Doctor;ECH
Doctor;Joe
Doctor;The Doctor
Knuth–Morris–Pratt algorithm;KMP algorithm
Knuth–Morris–Pratt algorithm;Knuth-Morris-Pratt algorithm
Knuth–Morris–Pratt algorithm;Knuth–Morris–Pratt string searching algorithm
Vigenère cipher;Vigenere cipher
bubble sort;sinking sort
sentence boundary disambiguation;sentence boundary detection
sentence boundary disambiguation;sentence breaking
RODM;Rover and Orbiter Delta Mars
recursive best-first search;RBFS
Redoc;Reduced Documentation
cache algorithm;caching algorithms
SHA-1;Secure Hash Algorithm 1
SHA-1;SHA 1
SHA-1;SHA1
evolutionary algorithm;EA
BLAKE;BLAKE_(hash_function)
Dogecoin;DOGE
Dogecoin;CEO Elon Musk
HAIFA construction;Hash Iterative Framework
Italian fiscal code;codice fiscale
inductive programming;IP
Inparanoid;InParanoid
BMW Hash function;Blue Midnight Wish
automatic vectorization;auto-vectorisation
automatic vectorization;auto-vectorization
automatic vectorization;autovectorisation
automatic vectorization;autovectorization
Streebog;GOST R 34.11-2012
Ethereum;ETH
name binding;name resolution
deep belief network;DBN
interleaved polling with adaptive cycle time;IPACT
Davidon–Fletcher–Powell formula;DFP algorithm
exponential search;doubling search
exponential search;galloping search
exponential search;Struzik search
feature learning;representation learning
jump point search;JPS
proof of stake;PoS
Reversible-jump Markov chain Monte Carlo;RJMCMC
convolutional neural network;CNN
convolutional neural network;ConvNet
convolutional neural network;Convolution Neural Network
convolutional neural network;Convolutional Network
convolutional neural network;Convolutional Net
hybrid algorithm;hybrid
nearest-neighbor chain algorithm;nearest neighbor chain algorithm
t-Distributed Stochastic Neighbor Embedding;t-SNE
recursive neural network;RvNN
recursive neural network;RecNN
word embedding;word embeddings
NEM;New Economy Movement
Kneser–Ney smoothing;Kneser-Ney smoothing
item-item collaborative filtering;item-based collaborative filtering
item-item collaborative filtering;item-to-item collaborative filtering
cryptographic hash and stream cipher function;cryptographic hash function and stream cipher
Monero;MO
Monero;XMR
Monero;Bitmonero
