;doc_id;relation;used;used_Felix;Anmerkung;ner;sentence;pre_sentence;post_sentence;section_name;section_index
79414;33998aff64ce51df8dee45989cdca4b6b1329ec4;Method;1;;;graph convolutional models;We also directly compare our model against GCNs [ reference ] , as well as graph convolutional models utilising higher - order Chebyshev filters [ reference ] , and the MoNet model presented in [ reference ] .;[ reference ] , the iterative classification algorithm ( ICA ) [ reference ] and Planetoid [ reference ] .;Inductive learning For the inductive learning task , we compare against the four different supervised GraphSAGE inductive methods presented in [ reference ] . These provide a variety of approaches to aggregating features within a sampled neighborhood : GraphSAGE - GCN ( which extends a graph convolution - style operation to the inductive setting ) , GraphSAGE - mean ( taking the elementwise mean value of feature vectors ) , GraphSAGE - LSTM ( aggregating by feeding the neighborhood features into an LSTM ) and GraphSAGE - pool ( taking the elementwise maximization operation of feature vectors transformed by a shared nonlinear multilayer perceptron ) .;STATE - OF - THE - ART METHODS;8
22972;0c9ae806059196007938f24d0327a4237ed6adf5;Method;1;;?;iid_imgclus_semisup;This explicitly validates the quality of our unsupervised learning method , as we beat even the supervised state - of - the - art ( t : iid_imgclus_semisup ) .;For semi - supervised learning , we establish a new state - of - the - art on STL10 out of all reported methods by finetuning a network trained in an entirely unsupervised fashion with the IIC objective ( recall labels in semi - supervised overclustering are used for evaluation and do not influence the network parameters ) .;Given that the bulk of parameters within semi - supervised overclustering are trained unsupervised ( i.e. all network parameters ) , it is unsurprising that f : imgclus_variation shows a 90 % drop in the number of available labels for STL10 ( decreasing the amount of labelled data available from 5000 to 500 over 10 classes ) barely impacts performance , costing just 10 % drop in accuracy .;Semi - supervised learning analysis .;22
65939;2a94c84383ee3de5e6211d43d16e7de387f68878;Method;0;;;py - faster - rcnn 3;Our code is a reimplementation of py - faster - rcnn 3 using Caffe2 .;[ reference ];[ reference ];Experiments on Object Detection;8
90969;3a8d537bcec370d37990d39eab01c729496ad057;Method;0;;;spherical Gaussians;Note that and are also spherical Gaussians and contains the generative parameters .;The conditional distribution over each local latent code ( ) is defined as follows : where the first local code is simply :;The ( occupancy ) probability for one voxel can then be calculated by ,;Model Objective : Variational + Latent Loss;5
102446;42f20d37f4eba56284a941d5f9f58609ee650de0;Method;1;;im nächsten Satz;downsamplers;Existing literatures have considered two types of downsamplers , including direct downsampler and bicubic downsampler .;;In this paper , we consider the bicubic downsampler since when k is delta kernel and the noise level is zero , Eqn .;Downsampler .;7
35194;13ea9a2ed134a9e238d33024fba34d3dd6a010e0;Method;0;;;deeper architecture;When using CaffeNet as the backbone , we directly replace the original FC7 layer with the Eigenlayer , in case that one might argue that the performance gain is brought by deeper architecture .;We mainly use two networks pre - trained on ImageNet as backbones , , CaffeNet and ResNet - 50 .;When using ResNet - 50 as the backbone , we have to insert the Eigenlayer before the last FC layer because ResNet has no hidden FC layer and the influence of adding a layer into a 50 - layer architecture can be neglected .;Datasets and Settings;8
106558;45b559e6271570598602fcf9777ed6f2f2d133e6;Method;1;;?;deepest configuration;The deepest configuration , WDX , has 14 weight layers : 10 convolutional and 4 fully connected .;Table [ reference ] shows the configurations of the deep CNNs .;As in , we omit the Rectified Linear Unit ( ReLU ) layers following every convolutional and fully connected layer .;Very Deep Convolutional Networks;3
21461;0be9ca65ad318ee3729928882ef2c403d4b6d24e;Method;1;;;stacked RNNs;In this study , we propose Direct Output Connection ( DOC ) as a generalization of MoS. For stacked RNNs , DOC computes the probability distributions from the middle layers including input embeddings .;/ abs - 1711 - 03953 proposed Mixture of Softmaxes ( MoS ) , which increases the rank of the matrix by combining multiple probability distributions computed from the encoded fixed - length vector .;In addition to raising the rank , the proposed method helps weaken the vanishing gradient problem in backpropagation because DOC provides a shortcut connection to the output .;Introduction;1
46990;1bea6bbdb4aed87fff5390d42934a1d9b0a7bec4;Method;0;;?;Google NLP pipeline;The text has been run through a Google NLP pipeline .;A news article is usually associated with a few ( e.g. , 3–5 ) bullet points and each of them highlights one aspect of its content .;It it tokenized , lowercased , and named entity recognition and coreference resolution have been run .;The Reading Comprehension Task;2
76150;303065c44cf847849d04da16b8b1d9a120cef73a;Method;1;;?;camera model operation;[ reference ] , the cost function is expressed as Note that the texture reconstruction and landmarks constraint terms of this cost function are non - linear due to the camera model operation .;By introducing the additive incremental updates on the parameters of Eq .;We need to linearize them around using first order Taylor series expansion at .;Gauss - Newton Optimization;8
448;0012de6bec1f25599e4f02517637e531a71909b9;Method;0;;;level - sets;Post - processing approaches such as connected components analysis normally yield no improvement and therefore , more recent works , propose to use the network predictions in combination with Markov random fields , voting strategies or more traditional approaches such as level - sets .;Such segmentations are obtained by only considering local context and therefore are prone to failure , especially in challenging modalities such as ultrasound , where a high number of mis - classified voxel are to be expected .;Patch - wise approaches also suffer from efficiency issues .;Introduction and Related Work;1
75136;2f95ba08a8f5a97d1a767f3a2490c686ee8f762d;Method;1;;;Adam gradient descent;We train for 100 epochs using Adam gradient descent with a fixed learning rate of on mini - batches of 64 examples .;In all experiments , the dimensionality of the hidden layers in the MTGAE architecture is fixed at - 256 - 128 - 256 - .;We implement the MTGAE architecture using Keras on top of the GPU - enabled TensorFlow backend .;Empirical Evaluation;2
15190;0899bb0f3d5425c88b358638bb8556729720c8db;Method;0;;;6D localization algorithms;The SIXD challenge is an attempt to make fair comparisons between 6D localization algorithms by prohibiting the use of test scene pixels .;Symmetric object views are often individually treated or ignored .;We follow these strict evaluation guidelines , but treat the harder problem of 6D detection where it is unknown which of the considered objects are present in the scene .;Test Conditions;24
59558;2451db113552afb6d9ad15ef4009ec4133d28f74;Method;0;;;matrix square root normalization of global covariance pooling;Very recent works have demonstrated that matrix square root normalization of global covariance pooling plays a key role in achieving state - of - the - art performance in both large - scale visual recognition and challenging FGVC .;One particular kind of structured layer is concerned with global covariance pooling after the last convolution layer , which has shown impressive improvement over the classical first - order pooling , successfully used in FGVC , visual question answering and video action recognition .;CUDA support Scalability to multi - GPUs Large - scale ( LS ) or Small - scale ( SS ) EIG algorithm BP of EIG limited G DeNet SVD algorithm BP of SVD limited Improved B - CNN Newton - Schulz Iter .;Introduction;1
15778;0985497d1de3ffd11713e75289cc2ad55836623d;Method;0;;;answer representation;Since answer candidates usually have similar boundary words , if we compute the answer representation based on the boundary probabilities , it ’s difficult to model the real difference among different answer candidates .;We can see that the boundary and content probabilities capture different aspects of the answer .;On the contrary , with the content probabilities , we pay more attention to the content part of the answer , which can provide more distinguishable information for verifying the correct answer .;Necessity of the Content Model;18
98416;40b4596a0ae4f4ff065f3f13f36db39543e50068;Method;0;;;distribution perspective;Second , from the distribution perspective , synthetic and real data suffers a considerable distribution mismatch , which makes the model biased to synthetic domain .;First , from the perspective of representation , since the model is trained on synthetic images , the convolutional filters tend to overfit to synthetic style images , making them incompetent to extract informative features for real images .;To overcome such problems , we propose R eality;Introduction;1
94208;3dd2f70f48588e9bb89f1e5eec7f0d8750dd920a;Method;1;;;piecewise training;Multi - task training ( forth column per group ) improves mAP over piecewise training ( third column per group ) .;1 ( i.e. , setting Table 6 .;λ = 0 ) .;Does multi - task training help ?;20
65640;2a69ddbafb23c63e5e22401664bea229daaeb7d6;Method;1;;;Res2Net based method;The Res2Net based method outperforms its counterparts by 1.7 on AP and 2.4 on AP@IoU=0.5 .;The performance of instance segmentation on MS COCO dataset is shown in Table [ reference ] .;The performance gains on objects with different sizes are also demonstrated .;Instance Segmentation;25
68445;2c03df8b48bf3fa39054345bafabfeff15bfd11d;Method;1;;;deeper nets;Next we describe our deeper nets for ImageNet .;Deeper Bottleneck Architectures .;Because of concerns on the training time that we can afford , we modify the building block as a bottleneck design [ reference ] .;Experiments 4.1 . ImageNet Classification;10
104284;4402c6c8445f17f4161e0f64573b7e28df1ca180;Method;1;;;DEEP LEARNING;section : III . DEEP LEARNING FOR CTR ESTIMATION;In this paper , we demonstrate the way our PNN models learn local dependencies and high - order feature interactions .;We take CTR estimation in online advertising [ reference ] as a working example to formulate our model and explore the performance on various metrics .;III . DEEP LEARNING FOR CTR ESTIMATION;4
48590;1d5d0a41b720bc51fd568cf78f8aa4ec5af4f802;Method;1;;;DSS;Deep Sliding Shapes ( DSS ) generates 3D regions using a proposal network and then processes them using a 3D convolutional network , which is prohibitively slow .;Comparison with other methods We compare our model with three approaches from the current state of the art .;Our model outperforms DSS by 3 % mAP while being 15 times faster .;Evaluation on SUN - RGBD;23
9630;05ee231749c9ce97f036c71c1d2d599d660a8c81;Method;0;;?;D - dimensional template descriptor;The final D - dimensional template descriptor is obtained by reducing dimensionality using a fully - connected layer , followed by batch normalization ( BN ) and L2 - normalization .;The descriptors are aggregated into a single fixed - length vector using the GhostVLAD layer .;( 1 ) Take any number of images as input , and output a fixed - length template descriptor to represent the input image set .;Set - based face recognition;4
73509;2e57bccb74bcb46cbc5b4225b62679023ed1f9da;Method;1;;;bidirectional - GRU encoders;We use bidirectional - GRU encoders to extract the query representation M quer and the passage representation M doc , given a query and a passage .;Memory :;We compute the similarity matrix Table 4 : Small and large random graph in the Graph Reachability dataset .;SQuAD Dataset;9
75403;30180f66d5b4b7c0367e4b43e2b55367b72d6d2a;Method;0;;?;unit normalized average encodings;Similarly , train a linear SVM for , using the unit normalized average encodings for media in as positive features and a large feature set as negatives .;The large negative set contains one feature encoding for many subject identities , so this set is very likely to be disjoint with the probe template .;Finally , let be notation for evaluating the SVM functional margin ( e.g. ) trained on , and evaluated using the unit normalized average media encoding in template .;Template Adaptation;3
65904;2a94c84383ee3de5e6211d43d16e7de387f68878;Method;0;;;common head classifier;This advantage is analogous to that of using a featurized image pyramid , where a common head classifier can be applied to features computed at any image scale .;The good performance of sharing parameters indicates that all levels of our pyramid share similar semantic levels .;With the above adaptations , RPN can be naturally trained and tested with our FPN , in the same fashion as in [ reference ] .;Feature Pyramid Networks for RPN;6
59705;2451db113552afb6d9ad15ef4009ec4133d28f74;Method;1;;;Matrix Square Root;subsection : Matrix Square Root and Forward Propagation;As the output of our meta - layer is a symmetric matrix , we concatenate its upper triangular entries forming an - dimensional vector , submitted to the subsequent layer of the ConvNet .;Square roots of matrices , particularly covariance matrices which are symmetric positive ( semi ) definite ( SPD ) , find applications in a variety of fields including computer vision , medical imaging and chemical physics .;Matrix Square Root and Forward Propagation;5
7735;051b3763c2ad4e4271db712b0e9a4cfe298d05db;Method;0;;;Ranjan;A compact network termed SPyNet from Ranjan is inspired from spatial pyramid .;Our model uses a more efficient architecture containing 30 times fewer parameters than FlowNet2 while the performance is on par with it .;Nevertheless , the accuracy is far below FlowNet2 .;Related Work;2
68687;2c03df8b48bf3fa39054345bafabfeff15bfd11d;Method;1;;;sibling 1×1 convolutional layers;This RPN ends with two sibling 1×1 convolutional layers for binary classification ( cls ) and box regression ( reg ) , as in [ reference ] .;Unlike the way in [ reference ] that is category - agnostic , our RPN for localization is designed in a per - class form .;"The cls and reg layers are both in a per - class from , in contrast to [ reference ] . Specifically , the cls layer has a 1000 - d output , and each dimension is binary logistic regression for predicting being or not being an object class ; the reg layer has a 1000×4 - d output consisting of box regressors for 1000 classes .";C. ImageNet Localization;20
95773;3f3a483402a3a2b800cf2c86506a37f6ef1a5332;Method;1;;;Non - linear Mapping;Non - linear Mapping .;The latter three are intersections over union / minimum / maximum of the two detection boxes , respectively , and .;We augment the feature representation by appending quadratic and exponential terms .;Pairwise Probabilities;6
62791;2788a2461ed0067e2f7aaa63c449a24a237ec341;Method;1;;?;Fast - RCNN detector;Experiment is conducted based on the Fast - RCNN detector .;;The model is initialized by the ImageNet classification models , and then fine - tuned on the object detection data .;Experiment Settings;14
59861;2451db113552afb6d9ad15ef4009ec4133d28f74;Method;1;;;improved B - CNN;We observe that , in any case , the forward backward time taken by single meta - layer of improved B - CNN is significant as GPU unfriendly SVD or EIG can not be avoided , even though the forward computation is very efficient when NS iteration is used .;The authors of improved B - CNN also proposed two other implementations , i.e. , FP by NS iteration plus BP by SVD and FP by SVD plus BP by Lyapunov ( Lyap . ) , which take 15.31 ( 2.09 ) and 12.21 ( 11.19 ) , respectively .;Tab .;Evaluation with AlexNet on ImageNet;14
77493;31ae4873da19b1e28eca8787a17f49bba08627e5;Method;0;;;RoI - pooling layer;The RoI - pooling layer crops and resizes to generate a fixed size feature vector for each object proposal .;Given the feature map , the RoI - pooling layer is used to project the object proposals onto the feature space .;These feature vectors are then passed through fully connected layers .;Overview of Fast - RCNN;5
90965;3a8d537bcec370d37990d39eab01c729496ad057;Method;1;;;re - parameterization trick;To deal with the stochasticity of the latent variables , which , in VAE models , are typically assumed to be Gaussian distributed , we use the re - parameterization trick in order to back - propagate through the operation of sampling the Gaussian variables .;The inference and generative parameters are then jointly trained by optimizing Equation [ reference ] using back - propagation and stochastic gradient ascent .;We refer the reader to for a much more detailed explanation .;Model Objective : Variational + Latent Loss;5
61959;26fe009b958e8728382d9d764bd7153632f0b869;Method;0;;?;classifier setup;The overall supervised model uses these shortcut - stacked encoders to encode two input sentences into two vectors , and then we use a classifier over the vector combination to label the relationship between these two sentences as that of entailment , contradiction , or neural ( similar to the classifier setup of snli : emnlp2015 and conneau2017supervised ) .;It is basically a stacked ( multi - layered ) bidirectional LSTM - RNN with shortcut connections ( feeding all previous layers ’ outputs and word embeddings to each layer ) and word embedding fine - tuning .;Our simple shortcut - stacked encoders achieve strong improvements over existing encoders due to its multi - layered and shortcut - connected properties , on both matched and mismatched evaluation settings for multi - domain natural language inference , as well as on the original SNLI dataset .;Introduction and Background;1
30537;100c730003033151c0f78ed1aab23df3e9bd5283;Method;0;;?;question and answer representations;The Neural Answer Selection Model ( Figure [ reference ] ) is a supervised model that learns the question and answer representations and predicts their relatedness .;This is a classification task where we treat each training data point as a triple while predicting for the unlabelled question - answer pair .;It employs two different LSTMs to embed raw question inputs and answer inputs .;Neural Answer Selection Model;4
89698;3a28fe49e7a856ddd60d134696a891ed7bca5962;Method;0;;;causal modeling idea;On the other hand , according to the causal modeling idea proposed by , if one wonders whether there is a bias in bounding - box based annotations , he must figure out corresponding counterfactual : would the performance still be identical or even improved what if we had NOT applied bounding - box based annotations ?;However , in our opinion , what impacts the performance of small - scale objects other than perceptive fields may reside in the very initial phase of machine learning pipeline , which is to say , the annotation phase .;Motivated by above insight and counterfactual argument , we aim to address the scale variation problem with an alternative annotation , by simply locating the somatic topological line of each pedestrian as illustrated in Fig .;Introduction;1
15143;0899bb0f3d5425c88b358638bb8556729720c8db;Method;1;;;Phong model;Therefore , while keeping reconstruction targets clean , we randomly apply additional augmentations to the input training views : ( 1 ) rendering with random light positions and randomized diffuse and specular reflection ( simple Phong model in OpenGL ) , ( 2 ) inserting random background images from the Pascal VOC dataset , ( 3 ) varying image contrast , brightness , Gaussian blur and color distortions , ( 4 ) applying occlusions using random object masks or black squares .;The goal is that the trained encoder treats the differences to real camera images as just another irrelevant variation .;Fig .;Learning 3D Orientation from Synthetic Object Views;15
85312;3652c2d20f198dc39ad159eba55d08341c56d628;Method;0;;;normalized linear kernel;The second one is a composition of the Gaussian kernel — which is p.d.— , with feature maps of a normalized linear kernel in .;The first one is obviously p.d . : .;This composition is p.d .;Positive Definiteness of;29
21415;0be9ca65ad318ee3729928882ef2c403d4b6d24e;Method;1;;;High - Rank Language Model;document : Direct Output Connection for a High - Rank Language Model;bibliography : References;This paper proposes a state - of - the - art recurrent neural network ( RNN ) language model that combines probability distributions computed not only from a final RNN layer but also from middle layers .;Direct Output Connection for a High - Rank Language Model;0
15033;0899bb0f3d5425c88b358638bb8556729720c8db;Method;0;;;self - supervised way;Instead , it is trained to encode 3D model views in a self - supervised way , overcoming the need of a large pose - annotated dataset .;Finally , the AAE does not require any real pose - annotated training data .;A schematic overview of the approach is shown in Fig [ reference ] .;Introduction;1
20930;0b5aef2894d3248fb5ecc955d50501f0aa276036;Method;0;;;bimodal;Similarly to bimodal fusion ( sec : bimodal ) , after trimodal fusion we pass the fused features through to incorporate contextual information in them , which yields where , is scalar for , , , and is the context - aware trimodal feature vector .;So , we define the fused features as where , is scalar for and .;;Trimodal fusion;19
34532;12f008bea798a05ebfa2864ec026999cb375bcd9;Method;1;;;addition;We also showed empirically that multiplicative gating is superior to addition and concatenation operations for implementing gated - attentions , though a theoretical justification remains part of future research goals .;Our model design is backed up by an ablation study showing statistically significant improvements of using Gated Attention as information filters .;Analysis of document and query attentions in intermediate layers of the reader further reveals that the model iteratively attends to different aspects of the query to arrive at the final answer .;Conclusion;15
74578;2f0c30d6970da9ee9cf957350d9fa1025a1becb4;Method;1;;;RPN network;The RPN network is trained separately as in the first stage of the procedure in .;To facilitate the ablation experiments on VOC , we follow and utilize pre - trained and fixed RPN proposals for the training of Faster R - CNN and R - FCN , without feature sharing between the region proposal and the object detection networks .;For COCO , joint training as in is performed and feature sharing is enabled for training .;Experiment Setup and Implementation;9
14350;07f3f736d90125cb2b04e7408782af411c67dd5a;Method;1;;;matching model;"The matching score of two short - texts are calculated with an MLP with the embedding of the two documents as input ; DeepMatch : We take the matching model in and train it on our datasets with 3 hidden layers and 1 , 000 hidden nodes in the first hidden layer ;";We first represent each short - text as the sum of the embedding of the words it contains .;uRAE + MLP :;Competitor Methods;19
33147;1109b663453e78a59e4f66446d71720ac58cec25;Method;0;;;ConvNet;For example Osadchy et al . describe a ConvNet for simultaneous face detection and pose estimation .;Several authors have also proposed to train ConvNets to directly predict the instantiation parameters of the objects to be located , such as the position relative to the viewing window , or the pose of the object .;Faces are represented by a 3D manifold in the nine - dimensional output space .;Introduction;1
98852;40eb1e54cb5382dfd3b7efd16dc7df826262ea52;Method;1;;;frustum proposal;our system for 3D object detection consists of three modules : frustum proposal , 3D instance segmentation , and 3D amodal bounding box estimation .;[ reference ] ,;We will introduce each module in the following subsections .;3D Detection with Frustum PointNets;6
66748;2aec8d465e9a74c27f956ed1136f3e8a3ba0a833;Method;0;;;cascade of shrinkage fields;With the aid of unrolled half quadratic splitting ( HQS ) techniques , Schmidt et al . proposed a cascade of shrinkage fields ( CSF ) framework to learn stage - wise inference parameters .;Generally speaking , the methods above only learn the prior parameters in a discriminative manner , while the inference parameters are stage - invariant .;Chen et al . further proposed a trainable nonlinear reaction diffusion ( TNRD ) model through discriminative learning of a compact gradient descent inference step .;MAP Inference Guided Discriminative Learning;3
29219;0fa88943665de1176b0fc6de4ed7469b40cdb08c;Method;0;;;Stein 's method;Stein variational gradient descent ( SVGD ) [ reference ] ) is a general purpose Bayesian inference algorithm motivated by Stein 's method [ reference ][ reference ] and kernelized Stein discrepancy;;[ reference ][ reference ] .;STEIN VARIATIONAL GRADIENT DESCENT ( SVGD );4
26518;0e8753f550350e53824358ca3f0f8cfd2f2dc2f7;Method;1;;;row and column permutation;After a row and column permutation , the original MovieLens 10 M matrix is partitioned in blocks , where is the matrix that we use for our experiments ( Figure [ reference ] ) .;The resulting matrix has observed values that correspond to the ratings that a user has given to a movie .;We treat as the users feature matrix , as the movies feature matrix and discard the remaining matrix .;Movielens dataset;9
57009;2329a46590b2036d508097143e65c1b77e571e8c;Method;1;;?;speech systems;Deep Speech also handles challenging noisy environments better than widely used , state - of - the - art commercial speech systems .;Our system , called Deep Speech , outperforms previously published results on the widely studied Switchboard Hub5’00 , achieving 16.0 % error on the full test set .;;Deep Speech : Scaling up end - to - end speech recognition;0
40650;16cd50316e41cbb1d9dfeafeb524b31654cef37a;Method;1;;;RNN LMs;We have experimented with both RNN LMs and LSTM LMs , and describe the details in the following two sections .;The N - best hypotheses are then rescored using a combination of the large N - gram LM and several neural net LMs .;;LM Rescoring and System Combination;9
37294;1518039b5001f1836565215eb047526b3ac7f462;Method;1;;;character bigram segmentation;We show performance gains over the baseline with both BPE segmentation , and a simple character bigram segmentation .;We introduce a variant of byte pair encoding for word segmentation , which is capable of encoding open vocabularies with a compact symbol vocabulary of variable - length subword units .;Our analysis shows that not only out - ofvocabulary words , but also rare in - vocabulary words are translated poorly by our baseline NMT system , and that reducing the vocabulary size of subword models can actually improve performance .;Conclusion;13
51373;1ea6b2f67a3a7f044209aae0d0fd1cb14a1e9e06;Method;1;;;dimensional RNNs;In this paper we advance two - dimensional RNNs and apply them to large - scale modeling of natural images .;0.16;The resulting PixelRNNs are composed of up to twelve , fast two - dimensional Long Short - Term Memory ( LSTM ) layers .;Introduction;1
67969;2bb9f0768fac9622a0be446df69daf75a954d5ac;Method;0;;;greedy search process;The greedy search process applies rules in a manually defined order .;"op2 "" Korea "" ) , then determine if they are aligned by checking if name is the tail concept of country .";The results are mutually exclusive which means once a graph fragment is aligned by one rule , it can not be realigned .;JAMR Aligner .;4
13688;07c4fc48ad7b7d1a417b0bb72d0ae2d4efc5aa83;Method;1;;;ByteNet - like architecture;Our experimental results allow us to draw the following conclusions : Depthwise separable convolutions are strictly superior to regular convolutions in a ByteNet - like architecture , resulting in models that are more accurate while requiring fewer parameters and being computationally cheaper to train and run .;The parameter count ( and computation cost ) of the different types of convolution operations used was already presented in Table [ reference ] .;Using sub - separable convolutions with groups of size 16 instead of full depthwise separable convolutions results in a performance dip , which may indicate that higher separability ( i.e. groups as small as possible , tending to full depthwise separable convolutions ) is preferable in this setup , this further confirming the advantages of depthwise separable convolutions .;Experiments;11
87423;372bc106c61e7eb004835e85bbfee997409f176a;Method;0;;?;joint embedding space learning;Our work is related to the prior works in multi - modal learning , including joint embedding space learning and multi - modal Boltzmann machines .;Our work extended GAN to dealing with joint distributions of images .;These approaches can be used for generating corresponding samples in different domains only when correspondence annotations are given during training .;Related Work;6
78513;325093f2c5b33d7507c10aa422e96aa5b10a33f1;Method;1;;;forward computation;We reconstruct necessary quantities for the backward pass by inverting the forward computation from the storage buffer , and manage to free up almost 50 % of the memory needed in conventional BN + Act implementations at little additional computational costs .;In this work we have presented InPlace - ABN , which is a novel , computationally efficient fusion of batch normalization and activation layers , targeting memory - optimization for modern deep neural networks during training time .;In contrast to state - of - the - art checkpointing attempts , our method is reconstructing discarded buffers backwards during the backward pass , thus allowing us to encapsulate BN + Act as self - contained layer , which is easy to implement and deploy in virtually all modern deep learning frameworks .;Conclusions;12
42536;1822ca8db58b0382b0c64f310840f0f875ea02c0;Method;0;;;embedding learning;This guarantees that the augmented dataset generally supports a better characterization of the class distributions during embedding learning .;In the first aspect , the fake images fill up the gaps between real data points and marginally expand the class borders in the feature space .;The second aspect , on the other hand , supports the usage of supervised learning [ reference ] , a different mechanism from [ reference ] which leverages unlabeled GAN images for regularization .;Camera - aware Image - Image Translation;6
84329;360cfa09b2f7c8e10b1831d899c5a51aefa1883e;Method;0;;;CTC - LSTM models;These features were also used in the original work on CTC - LSTM models for speech recognition .;The input features for these experiments were 123 dimensional FBANK features ( 40 + energy + + ) .;The CTC layer itself was trained on the 61 label set .;CTC setup;12
103884;435259c5f3cffd75ef837a8e638cc8f6244e25c4;Method;1;;;T1 -;Based on this initial automatic segmentation , manual editing was then performed by an experienced neuro - radiologist , to correct segmentation errors in both T1 - and T2 - weighted MR images .;Instead of starting from scratch , an initial automatic segmentation for 6 - month subjects was generated with the guidance from follow - up 24 - month scans with high tissue contrast , using the publicly - available iBEAT tool .;Geometric defects were also removed with the help of surface rendering , using ITK - SNAP .;Ground truth generation;12
25058;0d467adaf936b112f570970c5210bdb3c626a717;Method;0;;;stacked network architecture;The idea of the stacked network architecture is that the estimated flow field is gradually improved by every network in the stack .;;This improvement has been quantitatively shown in the paper .;Intermediate Results in Stacked Networks;26
50402;1e7678467b1807777dcd9be557b79328ce9419a8;Method;0;;;image storage platform;For instance , an image storage platform is likely to perform some classification of the input images , aside from detecting copies or instances of the same object .;In settings where billion of images have to be treated , it is of interest to obtain image embeddings suitable for more than one recognition task .;An embedding relevant to all these tasks advantageously reduces both the computing time per image and storage space .;Introduction;1
56584;231af7dc01a166cac3b5b01ca05778238f796e41;Method;1;;;second order differential equation;A second order differential equation describes the learning dynamics of Adam as an HBF system .;Then we described Adam stochastic optimization as a heavy ball with friction ( HBF ) dynamics , which shows that Adam converges and that Adam tends to find flat minima while avoiding small local minima .;Via this differential equation , the convergence of GANs trained with TTUR to a stationary local Nash equilibrium can be extended to Adam .;Conclusion;14
73981;2ebfc12285f5d426e0d0e8d2befa1af27f99a56e;Method;0;;;Euclidean distance function;In , the authors study the limiting average outward flux of the gradient of a Euclidean distance function to a 2D or 3D object boundary .;Traditional methods : Many early skeleton detection algorithms are based on gradient intensity maps .;The skeleton is associated with those locations where an energy principle is violated , where there is a net inward flux .;Related Work;2
46420;1bb5520bbc168e54c553758a76c6d953933bd8eb;Method;0;;;ES;The NES family of black - box optimization algorithms use parameterised probability distributions over the search space , instead of an explicit population ( i.e. , a conventional ES [ 27 ] ) .;"Therefore , we instead evolve the policy using a variant for Natural Evolution Strategies ( NES ; [ 25 , 26 ] ) , called Separable NES ( SNES ; [ 19 ] ) .";Typically , the distribution is a multivariate Gaussian parameterised by mean µ and covariance matrix;Title;0
74011;2ebfc12285f5d426e0d0e8d2befa1af27f99a56e;Method;0;;;output residual units;Ke et al . present a side - output residual network ( SRN ) , which leverages the output residual units to fit the errors between the ground - truth and the side - outputs .;This leads to improved skeleton localization , scale prediction , and better overall performance .;By cascading residual units in a deep - to - shallow manner , SRN can effectively detect the skeleton at different scales .;Related Work;2
67930;2bb9f0768fac9622a0be446df69daf75a954d5ac;Method;0;;;paragraph;paragraph : AMR Parsers .;section : Related Work;AMR parsing maps a natural language sentence into its AMR graph .;AMR Parsers .;3
91849;3b1d8eb163ffff598c2faa0d9d7cf933857a359f;Method;1;;?;input encoding layer;To determine the overall inference relationship between the premise and the hypothesis , we need to explore a composition layer to compose the local inference vectors ( and ) collected above : Here , we also use BiLSTMs as building blocks for the composition layer , but the responsibility of BiLSTMs in the inference composition layer is completely different from that in the input encoding layer .;In this component , we introduce knowledge - enriched inference composition .;The BiLSTMs here read local inference vectors ( and ) and learn to judge the types of local inference relationship and distinguish crucial local inference vectors for overall sentence - level inference relationship .;Knowledge - Enhanced Inference Composition;8
1093;0095c269e7d0c990249312687fc43521019809c4;Method;1;;;end - to - end deep architecture;In this paper , we propose an end - to - end deep architecture to capture the strong interaction information of sentence pair .;;Experiments on two large scale text matching tasks demonstrate the efficacy of our proposed model and its superiority to competitor models .;Conclusion and Future Work;35
28572;0f810eb4777fd05317951ebaa7a3f5835ee84cf4;Method;0;;;dimensional feature map;In LFA the approximate action - value function is a linear combination of state - action features , where is an - dimensional feature map and is a parameter vector .;Function approximation methods achieve generalisation by approximating the value function by a parameterised functional form .;;Reinforcement Learning;3
15562;08d55271589f989d90a7edce3345f78f2468a7e0;Method;0;;?;cascade score generation unit;There is no explicit supervision signals for the cascade score generation unit in training .;;So another problem arises : is it better to use human - defined scores instead of letting the network learn itself ?;Quality by QAN VS . quality by human;15
73377;2e57bccb74bcb46cbc5b4225b62679023ed1f9da;Method;0;;;last - word vector representation;Typically , the initial state s 1 is the last - word vector representation of query by an RNN .;The internal state is denoted as s which is a vector representation of the question state .;The t - th time step of the internal state is represented by s t .;REASONING NETWORKS;4
21510;0be9ca65ad318ee3729928882ef2c403d4b6d24e;Method;0;;;probability distributions;MoS computes multiple probability distributions from the hidden state of final RNN layer and regards the weighted average of the probability distributions as the final distribution .;/ abs - 1711 - 03953 proposed Mixture of Softmaxes ( MoS ) .;In this study , we propose Direct Output Connection ( DOC ) , which is a generalization method of MoS. DOC computes probability distributions from the middle layers in addition to the final layer .;Proposed Method : Direct Output Connection;4
9719;05ee231749c9ce97f036c71c1d2d599d660a8c81;Method;1;;;trained network;The classification layer is discarded after training and the trained network is used to extract a single fixed - length template representation for the input face images .;We use the one - versus - all logistic regression loss as empirically we found that it converges faster and outperforms cross - entropy loss .;Training with degraded images .;Network training;7
